text,labels
The net current into every node is zero. Flow in = Flow out.,vector spaces
This law can only be satisﬁed if the total current from outside is f1 + f2 + f3 +,vector spaces
"f4 = 0. With f = 0, the law ATy = 0 is satisﬁed by a current that goes around",vector spaces
Spanning Trees and Independent Rows,vector spaces
Every component of y1 and y2 in the left nullspace is 1 or −1 or 0 (from loop ﬂows).,vector spaces
"The same is true of x = (1,1,1,1) in the nullspace, and all the entries in PA = LDU! The",vector spaces
key point is that every elimination step has a meaning for the graph.,vector spaces
You can see it in the ﬁrst step for our matrix A: subtract row 1 from row 2. This,vector spaces
replaces edge 2 by a new edge “1 minus 2”: That elimination step destroys an edge and,vector spaces
creates a new edge. Here the new edge “1 − 2” is just the old edge 3 in the opposite,vector spaces
direction. The next elimination step will produce zeros in row 3 of the matrix. This,vector spaces
"shows that rows 1, 2, 3 are dependent. Rows are dependent if the corresponding edges",vector spaces
At the end of elimination we have a full set of r independent rows. Those r edges,vector spaces
"form a tree—a graph with no loops. Our graph has r = 3, and edges 1, 2, 4 form one",vector spaces
possible tree. The full name is spanning tree because the tree “spans” all nodes of the,vector spaces
"graph. A spanning tree has n−1 edges if the graph is connected, and including one more",vector spaces
edge will produce a loop.,vector spaces
"In the language of linear algebra, n−1 is the rank of the incidence matrix A. The row",vector spaces
space has dimension n−1. The spanning tree from elimination gives a basis for that row,vector spaces
space—each edge in the tree corresponds to a row in the basis.,vector spaces
The fundamental theorem of linear algebra connects the dimensions of the subspaces:,vector spaces
"Nullspace: dimension 1, contains x = (1,...,1).",vector spaces
"Column space: dimension r = n−1, any n−1 columns are independent.",vector spaces
"Row space: dimension r = n−1, independent rows from any spanning tree.",vector spaces
"Left nullspace: dimension m−r = m−n+1, contains y’s from the loops.",vector spaces
"Those four lines give Euler’s formula, which in some way is the ﬁrst theorem in topol-",vector spaces
ogy. It counts zero-dimensional nodes minus one-dimensional edges plus two-dimensional,vector spaces
2.5 Graphs and Networks,vector spaces
loops. Now it has a linear algebra proof for any connected graph:,vector spaces
(# of nodes)−(# of edges)+(# of loops) = (n)−(m)+(m−n+1) = 1.,vector spaces
"For a single loop of 10 nodes and 10 edges, the Euler number is 10−10+1. If those 10",vector spaces
"nodes are each connected to an eleventh node in the center, then 11−20+10 is still 1.",vector spaces
Every vector f in the row space has xT f = f1+···+ fn = 0—the currents from outside,vector spaces
add to zero. Every vector b in the column space has yTb = 0—the potential differences,vector spaces
add to zero around all loops. In a moment we link x to y by a third law (Ohm’s law for,vector spaces
each resistor). First we stay with the matrix A for an application that seems frivolous,vector spaces
The Ranking of Football Teams,vector spaces
"At the end of the season, the polls rank college football teams. The ranking is mostly an",vector spaces
"average of opinions, and it sometimes becomes vague after the top dozen colleges. We",vector spaces
want to rank all teams on a more mathematical basis.,vector spaces
"The ﬁrst step is to recognize the graph. If team j played team k, there is an edge",vector spaces
"between them. The teams are the nodes, and the games are the edges. There are a few",vector spaces
hundred nodes and a few thousand edges—which will be given a direction by an arrow,vector spaces
"from the visiting team to the home team. Figure 2.7 shows part of the Ivy League,",vector spaces
"and some serious teams, and also a college that is not famous for big time football.",vector spaces
Fortunately for that college (from which I am writing these words) the graph is not,vector spaces
"connected. Mathematically speaking, we cannot prove that MIT is not number 1 (unless",vector spaces
it happens to play a game against somebody).,vector spaces
Figure 2.7: Part of the graph for college football.,vector spaces
"If football were perfectly consistent, we could assign a “potential” x j to every team.",vector spaces
"Then if visiting team v played home team h, the one with higher potential would win. In",vector spaces
"the ideal case, the difference b in the score would exactly equal the difference xh −xv in",vector spaces
their potentials. They wouldn’t even have to play the game! There would be complete,vector spaces
agreement that the team with highest potential is the best.,vector spaces
This method has two difﬁculties (at least). We are trying to ﬁnd a number x for every,vector spaces
"team, and we want xh −xv = bi, for every game. That means a few thousand equations",vector spaces
Chapter 2 Vector Spaces,vector spaces
and only a few hundred unknowns. The equations xh − xv = bi go into a linear system,vector spaces
"Ax = b, in which A is an incidence matrix. Every game has a row, with +1 in column h",vector spaces
and −1 in column v—to indicate which teams are in that game.,vector spaces
First difﬁculty: If b is not in the column space there is no solution. The scores must,vector spaces
ﬁt perfectly or exact potentials cannot be found. Second difﬁculty: If A has nonzero,vector spaces
"vectors in its nullspace, the potentials x are not well determined. In the ﬁrst case x does",vector spaces
not exist; in the second case x is not unique. Probably both difﬁculties are present.,vector spaces
"The nullspace always contains the vector of 1s, since A looks only at the differences",vector spaces
xh −xv. To determine the potentials we can arbitrarily assign zero potential to Harvard.,vector spaces
"(I am speaking mathematically, not meanly.) But if the graph is not connected, every",vector spaces
separate piece of the graph contributes a vector to the nullspace. There is even the vector,vector spaces
with xMIT = 1 and all other x j = 0. We have to ground not only Harvard but one team,vector spaces
in each piece. (There is nothing unfair in assigning zero potential; if all other potentials,vector spaces
are below zero then the grounded team ranks ﬁrst.) The dimension of the nullspace is,vector spaces
the number of pieces of the graph—and there will be no way to rank one piece against,vector spaces
"another, since they play no games.",vector spaces
The column space looks harder to describe. Which scores ﬁt perfectly with a set of,vector spaces
"potentials? Certainly Ax = b is unsolvable if Harvard beats Yale, Yale beats Princeton,",vector spaces
"and Princeton beats Harvard. More than that, the score differences in that loop of games",vector spaces
have to add to zero:,vector spaces
Kirchhoff’s law for score differences,vector spaces
bHY +bYP +bPH = 0.,vector spaces
This is also a law of linear algebra. Ax = b can be solved when b satisﬁes the same linear,vector spaces
dependencies as the rows of A. Then elimination leads to 0 = 0.,vector spaces
"In reality, b is almost certainly not in the column space. Football scores are not that",vector spaces
consistent. To obtain a ranking we can use least squares: Make Ax as close as possible,vector spaces
"to b. That is in Chapter 3, and we mention only one adjustment. The winner gets a bonus",vector spaces
of 50 or even 100 points on top of the score difference. Otherwise winning by 1 is too,vector spaces
"close to losing by 1. This brings the computed rankings very close to the polls, and Dr.",vector spaces
Leake (Notre Dame) gave a full analysis in Management Science in Sports (1976).,vector spaces
"After writing that subsection, I found the following in the New York Times:",vector spaces
"In its ﬁnal rankings for 1985, the computer placed Miami (10-2) in the sev-",vector spaces
"enth spot above Tennessee (9-1-2). A few days after publication, packages",vector spaces
containing oranges and angry letters from disgruntled Tennessee fans began,vector spaces
arriving at the Times sports department. The irritation stems from the fact that,vector spaces
Tennessee thumped Miami 35-7 in the Sugar Bowl. Final AP and UPI polls,vector spaces
"ranked Tennessee fourth, with Miami signiﬁcantly lower.",vector spaces
Yesterday morning nine cartons of oranges arrived at the loading dock. They,vector spaces
were sent to Bellevue Hospital with a warning that the quality and contents of,vector spaces
the oranges were uncertain.,vector spaces
2.5 Graphs and Networks,vector spaces
So much for that application of linear algebra.,vector spaces
Networks and Discrete Applied Mathematics,vector spaces
"A graph becomes a network when numbers c1,...,cm are assigned to the edges. The",vector spaces
"number ci can be the length of edge i, or its capacity, or its stiffness (if it contains a",vector spaces
"spring), or its conductance (if it contains a resistor). Those numbers go into a diagonal",vector spaces
"matrix C, which is m by m. C reﬂects “material properties,” in contrast to the incidence",vector spaces
matrix A—which gives information about the connections.,vector spaces
"Our description will be in electrical terms. On edge i, the conductance is ci and the",vector spaces
resistance is 1/ci. Ohm’s Law says that the current yi through the resistor is proportional,vector spaces
to the voltage drop ei:,vector spaces
(current) = (conductance)(voltage drop).,vector spaces
"This is also written E = IR, voltage drop equals current times resistance. As a vector",vector spaces
"equation on all edges at once, Ohm’s Law is y = Ce.",vector spaces
We need Kirchhoff’s Voltage Law and Current Law to complete the framework:,vector spaces
KVL: The voltage drops around each loop add to zero.,vector spaces
KCL: The currents yi (and fi) into each node add to zero.,vector spaces
"The voltage law allows us to assign potentials x1,...,xn to the nodes. Then the dif-",vector spaces
"ferences around a loop give a sum like (x2 − x1) + (x3 − x2) + (x1 − x3) = 0, in which",vector spaces
everything cancels. The current law asks us to add the currents into each node by the,vector spaces
"multiplication ATy. If there are no external sources of current, Kirchhoff’s Current Law",vector spaces
is ATy = 0.,vector spaces
"The other equation is Ohm’s Law, but we need to ﬁnd the voltage drop e across",vector spaces
the resistor. The multiplication Ax gave the potential difference between the nodes.,vector spaces
"Reversing the signs, −Ax gives the drop in potential. Part of that drop may be due to a",vector spaces
battery in the edge of strength bi. The rest of the drop is e = b−Ax across the resistor:,vector spaces
The fundamental equations of equilibrium combine Ohm and Kirchhoff into a cen-,vector spaces
tral problem of applied mathematics. These equations appear everywhere:,vector spaces
C−1y + Ax =,vector spaces
"That is a linear symmetric system, from which e has disappeared. The unknowns are the",vector spaces
currents y and the potentials x. You see the symmetric block matrix:,vector spaces
Chapter 2 Vector Spaces,vector spaces
"For block elimination the pivot is C−1, the multiplier is ATC, and subtraction knocks out",vector spaces
AT below the pivot. The result is,vector spaces
"The equation for x alone is in the bottom row, with the symmetric matrix ATCA:",vector spaces
Then back-substitution in the ﬁrst equation produces y. Nothing mysterious—substitute,vector spaces
y = C(b−Ax) into ATy = f to reach (7).,vector spaces
Important Remark One potential must be ﬁxed in advance: xn = 0. The nth node,vector spaces
"is grounded, and the nth column of the original incidence matrix is removed. The re-",vector spaces
sulting matrix is what we now mean by A: its n−1 columns are independent. The square,vector spaces
"matrix ATCA, which is the key to solving equation (7) for x, is an invertible matrix of",vector spaces
Example 1. Suppose a battery b3 and a current source f2 (and ﬁve resistors) connect,vector spaces
four nodes. Node 4 is grounded and the potential x4 = 0 is ﬁxed. The ﬁrst thing is the,vector spaces
"current law ATy = f at nodes 1, 2, 3:",vector spaces
"No equation is written for node 4, where the current law is y4+y5+ f2 = 0. This follows",vector spaces
from adding the other three equations.,vector spaces
The other equation is C−1y + Ax = b. The potentials x are connected to the currents,vector spaces
y by Ohm’s Law. The diagonal matrix C contains the ﬁve conductances ci = 1/Ri. The,vector spaces
2.5 Graphs and Networks,vector spaces
right-hand side accounts for the battery of strength b3 in edge 3. The block form has,vector spaces
C−1y+Ax = b above ATy = f:,vector spaces
"The system is 8 by 8, with ﬁve currents and three potentials. Elimination of y’s reduces",vector spaces
to the 3 by 3 system ATCAx = ATCb − f. The matrix ATCA contains the reciprocals,vector spaces
ci = 1/Ri (because in elimination you divide by the pivots). We also show the fourth,vector spaces
"row and column, from the grounded node, outside the 3 by 3 matrix:",vector spaces
"The ﬁrst entry is 1 + 1 + 1, or c1 + c3 + c5 when C is included, because edges 1, 3, 5",vector spaces
"touch node 1. The next diagonal entry is 1+1 or c1 +c2, from the edges touching node",vector spaces
2. Off the diagonal the c’s appear with minus signs. The edges to the grounded node,vector spaces
"4 belong in the fourth row and column, which are deleted when column 4 is removed",vector spaces
from A (making ATCA invertible). The 4 by 4 matrix would have all rows and columns,vector spaces
"adding to zero, and (1,1,1,1) would be in its nullspace.",vector spaces
Notice that ATCA is symmetric. It has positive pivots and it comes from the basic,vector spaces
framework of applied mathematics illustrated in Figure 2.8.,vector spaces
e = b − Ax,vector spaces
"Figure 2.8: The framework for equilibrium: sources b and f, three steps to ATCA.",vector spaces
"In mechanics, x and y become displacements and stresses. In ﬂuids, the unknowns",vector spaces
"are pressure and ﬂow rate. In statistics, e is the error and x is the best least-squares ﬁt to",vector spaces
Chapter 2 Vector Spaces,vector spaces
the data. These matrix equations and the corresponding differential equations are in our,vector spaces
"textbook Introduction to Applied Mathematics, and the new Applied Mathematics and",vector spaces
Scientiﬁc Computing. (See www.wellesleycambridge.com.),vector spaces
We end this chapter at that high point—the formulation of a fundamental problem in,vector spaces
applied mathematics. Often that requires more insight than the solution of the problem.,vector spaces
"We solved linear equations in Chapter 1, as the ﬁrst step in linear algebra. To set up the",vector spaces
"equations has required the deeper insight of Chapter 2. The contribution of mathematics,",vector spaces
"and of people, is not computation but intelligence.",vector spaces
"1. For the 3-node triangular graph in the ﬁgure following, write the 3 by 3 incidence",vector spaces
matrix A. Find a solution to Ax = 0 and describe all other vectors in the nullspace of,vector spaces
A. Find a solution to ATy = 0 and describe all other vectors in the left nullspace of,vector spaces
"2. For the same 3 by 3 matrix, show directly from the columns that every vector b in",vector spaces
the column space will satisfy b1 +b2 −b3 = 0. Derive the same thing from the three,vector spaces
rows—the equations in the system Ax = b. What does that mean about potential,vector spaces
differences around a loop?,vector spaces
3. Show directly from the rows that every vector f in the row space will satisfy f1 +,vector spaces
f2 + f3 = 0. Derive the same thing from the three equations ATy = f. What does that,vector spaces
mean when the f’s are currents into the nodes?,vector spaces
"4. Compute the 3 by 3 matrix ATA, and show that it is symmetric but singular—what",vector spaces
vectors are in its nullspace? Removing the last column of A (and last row of AT),vector spaces
leaves the 2 by 2 matrix in the upper left corner; show that it is not singular.,vector spaces
"5. Put the diagonal matrix C with entries c1, c2, c3 in the middle and compute ATCA.",vector spaces
Show again that the 2 by 2 matrix in the upper left corner is invertible.,vector spaces
6. Write the 6 by 4 incidence matrix A for the second graph in the ﬁgure. The vector,vector spaces
"(1,1,1,1) is in the nullspace of A, but now there will be m−n+1 = 3 independent",vector spaces
vectors that satisfy ATy = 0. Find three vectors y and connect them to the loops in,vector spaces
2.5 Graphs and Networks,vector spaces
"7. If that second graph represents six games between four teams, and the score dif-",vector spaces
"ferences are b1,...,b6, when is it possible to assign potentials x1,...,x4 so that the",vector spaces
potential differences agree with the b’s? You are ﬁnding (from Kirchhoff or from,vector spaces
elimination) the conditions that make Ax = b solvable.,vector spaces
8. Write down the dimensions of the four fundamental subspaces for this 6 by 4 inci-,vector spaces
"dence matrix, and a basis for each subspace.",vector spaces
"9. Compute ATA and ATCA, where the 6 by 6 diagonal matrix C has entries c1,...,c6.",vector spaces
How can you tell from the graph where the c’s will appear on the main diagonal of,vector spaces
10. Draw a graph with numbered and directed edges (and numbered nodes) whose inci-,vector spaces
Is this graph a tree? (Are the rows of A independent?) Show that removing the last,vector spaces
edge produces a spanning tree. Then the remaining rows are a basis for,vector spaces
"11. With the last column removed from the preceding A, and with the numbers 1. 2, 2, 1",vector spaces
"on the diagonal of C, write out the 7 by 7 system",vector spaces
C−1y + Ax =,vector spaces
"Eliminating y1, y2, y3, y4 leaves three equations ATCAx = −f for x1, x2, x3. Solve",vector spaces
"the equations when f = (1,1,6). With those currents entering nodes 1, 2, 3 of the",vector spaces
"network, what are the potentials at the nodes and currents on the edges?",vector spaces
"12. If A is a 12 by 7 incidence matrix from a connected graph, what is its rank? How",vector spaces
many free variables are there in the solution to Ax = b? How many free variables,vector spaces
are there in the solution to ATy = f? How many edges must be removed to leave a,vector spaces
"13. In the graph above with 4 nodes and 6 edges, ﬁnd all 16 spanning trees.",vector spaces
"14. If MIT beats Harvard 35-0, Yale ties Harvard, and Princeton beats Yale 7-6, what",vector spaces
"score differences in the other 3 games (H-P MIT-P, MIT-Y) will allow potential dif-",vector spaces
ferences that agree with the score differences? If the score differences are known for,vector spaces
"the games in a spanning tree, they are known for all games.",vector spaces
"15. In our method for football rankings, should the strength of the opposition be consid-",vector spaces
ered — or is that already built in?,vector spaces
Chapter 2 Vector Spaces,vector spaces
"16. If there is an edge between every pair of nodes (a complete graph), how many edges",vector spaces
"are there? The graph has n nodes, and edges from a node to itself are not allowed.",vector spaces
"17. For both graphs drawn below, verify Euler’s formula:",vector spaces
(# of nodes) − (# of edges) + (# of loops) = 1.,vector spaces
"18. Multiply matrices to ﬁnd ATA, and guess how its entries come from the graph:",vector spaces
(a) The diagonal of ATA tells how many,vector spaces
(b) The off-diagonals −1 or 0 tell which pairs of nodes are,vector spaces
"19. Why does the nullspace of ATA contain (1,1,1,1)? What is its rank?",vector spaces
20. Why does a complete graph with n = 6 nodes have m = 15 edges? A spanning tree,vector spaces
connecting all six nodes has,vector spaces
edges. There are nn−2 = 64 spanning trees!,vector spaces
21. The adjacency matrix of a graph has Mij = 1 if nodes i and j are connected by an,vector spaces
"edge (otherwise Mi j = 0). For the graph in Problem 6 with 6 nodes and 4 edges,",vector spaces
write down M and also M2. Why does (M2)ij count the number of 2-step paths from,vector spaces
node i to node j?,vector spaces
We know how a matrix moves subspaces around when we multiply by A. The nullspace,vector spaces
"goes into the zero vector. All vectors go into the column space, since Ax is always a",vector spaces
combination of the columns. You will soon see something beautiful—that A takes its,vector spaces
"row space into its column space, and on those spaces of dimension r it is 100 percent in-",vector spaces
"vertible. That is the real action of A. It is partly hidden by nullspaces and left nullspaces,",vector spaces
which lie at right angles and go their own way (toward zero).,vector spaces
What matters now is what happens inside the space—which means inside n-dimensional,vector spaces
"space, if A is n by n. That demands a closer look.",vector spaces
"Suppose x is an n-dimensional vector. When A multiplies x, it transforms that vector",vector spaces
into a new vector Ax. This happens at every point x of the n-dimensional space Rn.,vector spaces
"The whole space is transformed, or “mapped into itself,” by the matrix A. Figure 2.9",vector spaces
illustrates four transformations that come from matrices:,vector spaces
"1. A multiple of the identity matrix, A = cI, stretches every vector",vector spaces
by the same factor c. The whole space expands or contracts (or,vector spaces
"somehow goes through the origin and out the opposite side, when",vector spaces
2. A rotation matrix turns the whole space around the origin. This,vector spaces
"example turns all vectors through 90°, transforming every point",vector spaces
3. A reﬂection matrix transforms every vector into its image on,vector spaces
the opposite side of a mirror. In this example the mirror is the,vector spaces
"45° line y = x, and a point like (2,2) is unchanged. A point like",vector spaces
"(2,−2) is reversed to (−2,2). On a combination like v = (2,2)+",vector spaces
"(2,−2) = (4,0), the matrix leaves one part and reverses the other",vector spaces
"part. The output is Av = (2,2)+(−2,2) = (0,4)",vector spaces
That reﬂection matrix is also a permutation matrix! It is alge-,vector spaces
"braically so simple, sending (x,y) to (y,x), that the geometric pic-",vector spaces
A projection matrix takes the whole space onto a lower-,vector spaces
dimensional subspace (not invertible). The example transforms,vector spaces
"each vector (x,y) in the plane to the nearest point (x,0) on the hor-",vector spaces
izontal axis. That axis is the column space of A. The y-axis that,vector spaces
"projects to (0,0) is the nullspace.",vector spaces
Figure 2.9: Transformations of the plane by four matrices.,vector spaces
Those examples could be lifted into three dimensions. There are matrices to stretch,vector spaces
the earth or spin it or reﬂect it across the plane of the equator (forth pole transforming to,vector spaces
south pole). There is a matrix that projects everything onto that plane (both poles to the,vector spaces
"center). It is also important to recognize that matrices cannot do everything, and some",vector spaces
transformations T(x) are not possible with Ax:,vector spaces
"(i) It is impossible to move the origin, since A0 = 0 for every matrix.",vector spaces
"(ii) If the vector x goes to x′, then 2x must go to 2x′. in general cx must go to cx′, since",vector spaces
"(iii) If the vectors x and y go to x′ and y′, then their sum x+y must go to x′ +y′—since",vector spaces
Matrix multiplication imposes those rules on the transformation. The second rule con-,vector spaces
"tains the ﬁrst (take c = 0 to get A0 = 0). We saw rule (iii) in action when (4,0) was",vector spaces
Chapter 2 Vector Spaces,vector spaces
"reﬂected across the 45° line. It was split into (2,2) + (2,−2) and the two parts were",vector spaces
"reﬂected separately. The same could be done for projections: split, project separately,",vector spaces
and add the projections. These rules apply to any transformation that comes from a,vector spaces
Their importance has earned them a name: Transformations that obey rules (i)–(iii),vector spaces
are called linear transformations. The rules can be combined into one requirement:,vector spaces
"For all numbers c and d and all vectors x and y, matrix multiplication",vector spaces
satisﬁes the rule of linearity:,vector spaces
Every transformation T(x) that meets this requirement is a linear transforma-,vector spaces
Any matrix leads immediately to a linear transformation. The more interesting question,vector spaces
is in the opposite direction: Does every linear transformation lead to a matrix? The,vector spaces
"object of this section is to ﬁnd the answer, yes. This is the foundation of an approach",vector spaces
to linear algebra—starting with property (1) and developing its consequences—that is,vector spaces
much more abstract than the main approach in this book. We preferred to begin directly,vector spaces
"with matrices, and now we see how they represent linear transformations.",vector spaces
A transformation need not go from Rn to the same space Rn. It is absolutely permitted,vector spaces
to transform vectors in Rn to vectors in a different space Rm. That is exactly what is done,vector spaces
"by an m by n matrix! The original vector x has n components, and the transformed vector",vector spaces
"Ax has m components. The rule of linearity is equally satisﬁed by rectangular matrices,",vector spaces
so they also produce linear transformations.,vector spaces
"Having gone that far, there is no reason to stop. The operations in the linearity con-",vector spaces
"dition (1) are addition and scalar multiplication, but x and y need not be column vectors",vector spaces
"in Rn. Those are not the only spaces. By deﬁnition, any vector space allows the com-",vector spaces
"binations cx + dy—the “vectors” are x and y, but they may actually be polynomials or",vector spaces
"matrices or functions x(t) and y(t). As long as the transformation satisﬁes equation (1),",vector spaces
"We take as examples the spaces Pn, in which the vectors are polynomials p(t) of",vector spaces
"degree n. They look like p = a0 +a1t +···+antn, and the dimension of the vector space",vector spaces
"is n+1 (because with the constant term, there are n+1 coefﬁcients).",vector spaces
"Example 1. The operation of differentiation, A = d/dt, is linear:",vector spaces
dt (a0 +a1t +···+antn) = a1 +···+nantn−1.,vector spaces
The nullspace of this A is the one-dimensional space of constants: da0/dt = 0. The,vector spaces
column space is the n-dimensional space Pn−1; the right-hand side of equation (2) is,vector spaces
always in that space. The sum of nullity (= 1) and rank (= n) is the dimension of the,vector spaces
Example 2. Integration from 0 to t is also linear (it takes Pn to Pn+1):,vector spaces
0 (a0 +···+antn)dt = a0t +···+,vector spaces
"This time there is no nullspace (except for the zero vector, as always!) but integration",vector spaces
does not produce all polynomials in Pn+1. The right side of equation (3) has no constant,vector spaces
term. Probably the constant polynomials will be the left nullspace.,vector spaces
Example 3. Multiplication by a ﬁxed polynomial like 2+3t is linear:,vector spaces
Ap(t) = (2+3t)(a0 +···+antn) = 2a0 +···+3antn+1.,vector spaces
"Again this transforms Pn to Pn+1, with no nullspace except p = 0.",vector spaces
"In these examples (and in almost all examples), linearity is not difﬁcult to verify. It",vector spaces
"hardly even seems interesting. If it is there, it is practically impossible to miss. Nev-",vector spaces
"ertheless, it is the most important property a transformation can have1. Of course most",vector spaces
"transformations are not linear—for example, to square the polynomial (Ap = p2), or to",vector spaces
"add 1 (Ap = p+1), or to keep the positive coefﬁcients (A(t −t2) = t). It will be linear",vector spaces
"transformations, and only those, that lead us back to matrices.",vector spaces
Transformations Represented by Matrices,vector spaces
"Linearity has a crucial consequence: If we know Ax for each vector in a basis, then we",vector spaces
know Ax for each vector in the entire space. Suppose the basis consists of the n vectors,vector spaces
"x1,...,xn. Every other vector x is a combination of those particular vectors (they span",vector spaces
the space). Then linearity determines Ax:,vector spaces
x = c1x1 +···+cnxn,vector spaces
"The transformation T(x) = Ax has no freedom left, after it has decided what to do with",vector spaces
the basis vectors. The rest is determined by linearity. The requirement (1) for two vectors,vector spaces
"x and y leads to condition (4) for n vectors x1,...,xn. The transformation does have a",vector spaces
"free hand with the vectors in the basis (they are independent). When those are settled,",vector spaces
the transformation of every vector is settled.,vector spaces
Example 4. What linear transformation takes x1 and x2 to Ax1 and Ax2?,vector spaces
It must be multiplication T(x) = Ax by the matrix,vector spaces
1Invertibility is perhaps in second place as an important property.,vector spaces
Chapter 2 Vector Spaces,vector spaces
"Starting with a different basis (1,1) and (2,−1), this same A is also the only linear",vector spaces
Next we ﬁnd matrices that represent differentiation and integration. First we must,vector spaces
decide on a basis. For the polynomials of degree 3 there is a natural choice for the four,vector spaces
"That basis is not unique (it never is), but some choice is necessary and this is the most",vector spaces
"convenient. The derivatives of those four basis vectors are 0, 1, 2t, 3t2:",vector spaces
"“d/dt” is acting exactly like a matrix, but which matrix? Suppose we were in the usual",vector spaces
"four-dimensional space with the usual basis—the coordinate vectors p1 = (1,0,0,0),",vector spaces
"p2 = (0,1,0,0), p3 = (0,0,1,0), p4 = (0,0,0,1). The matrix is decided by equation (5):",vector spaces
0 1 0 0,vector spaces
0 0 2 0,vector spaces
0 0 0 3,vector spaces
0 0 0 0,vector spaces
"Ap1 is its ﬁrst column, which is zero. Ap2 is the second column, which is p1. Ap3 is",vector spaces
2p2 and Ap4 is 3p3. The nullspace contains p1 (the derivative of a constant is zero).,vector spaces
"The column space contains p1, p2, p3 (the derivative of a cubic is a quadratic). The",vector spaces
"derivative of a combination like p = 2 +t −t2 −t3 is decided by linearity, and there is",vector spaces
nothing new about that—it is the way we all differentiate. It would be crazy to memorize,vector spaces
the derivative of every polynomial.,vector spaces
"The matrix can differentiate that p(t), because matrices build in linearity!",vector spaces
dt = Ap −→,vector spaces
0 1 0 0,vector spaces
0 0 2 0,vector spaces
0 0 0 3,vector spaces
0 0 0 0,vector spaces
���� −→ 1−2t −3t2.,vector spaces
"In short, the matrix carries all the essential information. If the basis is known, and the",vector spaces
"matrix is known, then the transformation of every vector is known.",vector spaces
"The coding of the information is simple. To transform a space to itself, one basis is",vector spaces
enough. A transformation from one space to another requires a basis for each.,vector spaces
"Suppose the vectors x1,...,xn are a basis for the space V, and vectors",vector spaces
"y1,...,ym are a basis for W. Each linear transformation T from V to W is",vector spaces
represented by a matrix A. The jth column is found by applying T to the jth,vector spaces
"basis vector x j, and writing T(x j) as a combination of the y’s:",vector spaces
Column j of A,vector spaces
T(x j) = Ax j = a1 jy1 +a2 jy2 +···+amjym.,vector spaces
"For the differentiation matrix, column 1 came from the ﬁrst basis vector p1 = 1. Its",vector spaces
"derivative is zero, so column 1 is zero. The last column came from (d/dt)t3 = 3t2. Since",vector spaces
"3t2 = 0p1+0p2+3p3+0p4, the last column contained 0, 0, 3. 0. The rule (6) constructs",vector spaces
"the matrix, a column at a time.",vector spaces
"We do the same for integration. That goes from cubics to quartics, transforming",vector spaces
"V = P3 into W = P4, so we need a basis for W. The natural choice is y1 = 1, y2 = t,",vector spaces
"y3 = t2, y4 = t3, y5 = t4, spanning the polynomials of degree 4. The matrix A will be m",vector spaces
"by n, or 5 by 4. It comes from applying integration to each basis vector of V:",vector spaces
0 1dt = t,vector spaces
0 t3dt = 1,vector spaces
Differentiation and integration are inverse operations. Or at least integration followed,vector spaces
"by differentiation brings back the original function. To make that happen for matrices,",vector spaces
"we need the differentiation matrix from quartics down to cubics, which is 4 by 5:",vector spaces
0 1 0 0 0,vector spaces
0 0 2 0 0,vector spaces
0 0 0 3 0,vector spaces
0 0 0 0 4,vector spaces
Differentiation is a left-inverse of integration. Rectangular matrices cannot have two-,vector spaces
"sided inverses! In the opposite order, AintAdiff = I cannot be true. The 5 by 5 product has",vector spaces
zeros in column 1. The derivative of a constant is zero. In the other columns AintAdiff is,vector spaces
the identity and the integral of the derivative of tn is tn.,vector spaces
Chapter 2 Vector Spaces,vector spaces
"Rotations Q, Projections P, and Reﬂections H",vector spaces
"This section began with 90° rotations, projections onto the x-axis, and reﬂections through",vector spaces
the 45° line. Their matrices were especially simple:,vector spaces
The underlying linear transformations of the x-y plane are also simple. But rotations,vector spaces
"through other angles, projections onto other lines, and reﬂections in other mirrors are",vector spaces
"almost as easy to visualize, They are still linear transformations, provided that the origin",vector spaces
is ﬁxed: A0 = 0. They must be represented by matrices. Using the natural basis,vector spaces
", we want to discover those matrices.",vector spaces
1. Rotation Figure 2.10 shows rotation through an angle θ. It also shows the effect on,vector spaces
"the two basis vectors. The ﬁrst one goes to (cosθ,sinθ), whose length is still 1; it",vector spaces
"lies on the “θ-line.” The second basis vector (0,1) rotates into (−sinθ,cosθ). By",vector spaces
"rule (6), those numbers go into the columns of the matrix (we use c and s for cosθ",vector spaces
and sinθ). This family of rotations Qθ is a perfect chance to test the correspondence,vector spaces
between transformations and matrices:,vector spaces
Does the inverse of Qθ equal Q−θ (rotation backward through θ)? Yes.,vector spaces
Does the square of Qθ equal Q2θ (rotation through a double angle)? Yes.,vector spaces
Does the product of Qθ and Qϕ equal Qθ+ϕ (rotation through θ then ϕ)?,vector spaces
cosθ cosϕ −sinθ sinϕ,vector spaces
sinθ cosϕ +cosθ sinϕ,vector spaces
"The last case contains the ﬁrst two. The inverse appears when ϕ is −θ, and the",vector spaces
square appears when ϕ is +θ. All three questions were decided by trigonometric,vector spaces
identities (and they give a new way to remember those identities). It was no accident,vector spaces
that all the answers were yes. Matrix multiplication is deﬁned exactly so that the,vector spaces
product of the matrices corresponds to the product of the transformations.,vector spaces
Suppose A and B are linear transformations from V to W and from U,vector spaces
"to V. Their product AB starts with a vector u in U, goes to Bu in V, and",vector spaces
s [ cs ],vector spaces
c [ cs ],vector spaces
Figure 2.10: Rotation through θ (left). Projection onto the θ-line (right).,vector spaces
